,Nom,Type,Identificateur WIGOS,Latitude,Longitude,Elevation,Detail url
92,Ipelce,Land (fixed),0-854-0-154|primary,"11,9572","-1,5469",335,https://www.meteoburkina.bf/stations/93
93,Kamboincé,Land (fixed),0-854-0-042|primary,"12,46","-1,55",300,https://www.meteoburkina.bf/stations/94
94,Kampti,Land (fixed),0-854-0-155|primary,"10,1436","-3,4557",344,https://www.meteoburkina.bf/stations/95
95,Kantchari,Land (fixed),0-854-0-156|primary,"12,48","1,53",267,https://www.meteoburkina.bf/stations/96
96,Karagasso -Vigué,Land (fixed),0-854-0-159|primary,"10,8748","-3,941",347,https://www.meteoburkina.bf/stations/97
97,Karangasso Sambla,Land (fixed),0-854-0-160|primary,"11,2257","-4,6514",359,https://www.meteoburkina.bf/stations/98
98,Kari,Land (fixed),0-854-0-161|primary,"12,2964","-3,5562",274,https://www.meteoburkina.bf/stations/99
99,Kassou,Land (fixed),0-854-0-044|primary,"11,5811","-2,0469",333,https://www.meteoburkina.bf/stations/100
100,Kassoum,Land (fixed),0-854-0-163|primary,"13,0743","-3,3032",274,https://www.meteoburkina.bf/stations/101
101,Kaya,Land (fixed),0-854-0-045|primary,"13,0967","-1,0875",313,https://www.meteoburkina.bf/stations/102
102,Kiembara,Land (fixed),0-854-0-046|primary,"13,24","-2,72",307,https://www.meteoburkina.bf/stations/103
103,Kindi,Land (fixed),0-854-0-164|primary,"12,4377","-2,0357",388,https://www.meteoburkina.bf/stations/104
104,Kirsi,Land (fixed),0-854-0-165|primary,"13,0383","-1,9428",305,https://www.meteoburkina.bf/stations/105
105,Kokologo,Land (fixed),0-854-0-166|primary,"12,18","-1,88",315,https://www.meteoburkina.bf/stations/106
106,Kombissiri,Land (fixed),0-854-0-167|primary,"12,0743","-1,3421",312,https://www.meteoburkina.bf/stations/107
107,Komin-Yanga,Land (fixed),0-854-0-168|primary,"11,7133","0,1422",255,https://www.meteoburkina.bf/stations/108
108,Kompienga,Land (fixed),0-854-0-169|primary,"11,0846","0,7763",164,https://www.meteoburkina.bf/stations/109
109,Kongoussi,Land (fixed),0-854-0-047|primary,"13,3255","-1,5287",315,https://www.meteoburkina.bf/stations/110
110,Korsimoro,Land (fixed),0-854-0-170|primary,"12,83","-1,07",304,https://www.meteoburkina.bf/stations/111
111,Kossodougou,Land (fixed),0-854-0-171|primary,"12,93","-0,235",295,https://www.meteoburkina.bf/stations/112
112,Koubouré,Land (fixed),0-854-0-048|primary,"12,6286","-0,5232",333,https://www.meteoburkina.bf/stations/113
113,Koubri,Land (fixed),0-854-0-172|primary,"12,1865","-1,4004",284,https://www.meteoburkina.bf/stations/114
114,Koudougou,Land (fixed),0-854-0-049|primary,"12,2514","-2,4005",269,https://www.meteoburkina.bf/stations/115
115,Kouka,Land (fixed),0-854-0-050|primary,"11,9027","-4,3426",328,https://www.meteoburkina.bf/stations/116
116,Koumbia,Land (fixed),0-854-0-173|primary,"11,2327","-3,6942",313,https://www.meteoburkina.bf/stations/117
117,Koundougou,Land (fixed),0-854-0-174|primary,"11,7184","-4,5121",340,https://www.meteoburkina.bf/stations/118
118,Koupéla,Land (fixed),0-854-0-051|primary,"12,179","-0,3399",298,https://www.meteoburkina.bf/stations/119
119,Kourouma,Land (fixed),0-854-0-175|primary,"11,6162","-4,7994",333,https://www.meteoburkina.bf/stations/120
120,Koutougou,Land (fixed),0-854-0-052|primary,"14,5019","-1,0153",304,https://www.meteoburkina.bf/stations/121
121,La-Toden,Land (fixed),0-854-0-176|primary,"12,9039","-2,4563",320,https://www.meteoburkina.bf/stations/122
122,Legmoin,Land (fixed),0-854-0-177|primary,"10,15","-2,9",332,https://www.meteoburkina.bf/stations/123
123,Linoghin,Land (fixed),0-854-0-179|primary,"12,4765","-1,2069",296,https://www.meteoburkina.bf/stations/124
124,Liptougou,Land (fixed),0-854-0-180|primary,"13,1769","0,313",252,https://www.meteoburkina.bf/stations/125
125,Loropéni,Land (fixed),0-854-0-054|primary,"10,2963","-3,527",259,https://www.meteoburkina.bf/stations/126
126,Loumana,Land (fixed),0-854-0-055|primary,"10,5777","-5,3524",336,https://www.meteoburkina.bf/stations/127
127,Loumbila,Land (fixed),0-854-0-057|primary,"12,5221","-1,3828",305,https://www.meteoburkina.bf/stations/128
128,Léo,Land (fixed),0-854-0-053|primary,"11,0961","-2,1006",347,https://www.meteoburkina.bf/stations/129
129,Léri,Land (fixed),0-854-0-178|primary,"12,76","-3,39",255,https://www.meteoburkina.bf/stations/130
130,MANGODARA,Land (fixed),0-20000-0-65523|primary,"9,9","-4,35",260,https://www.meteoburkina.bf/stations/131
131,MARKOYE,Land (fixed),0-20000-0-65500|primary,"14,6333333333","-0,0666666667",295,https://www.meteoburkina.bf/stations/132
132,Madjoari,Land (fixed),0-854-0-058|primary,"11,4727","1,24",226,https://www.meteoburkina.bf/stations/133
133,Mahadaga,Land (fixed),0-854-0-059|primary,"11,7211","1,764",234,https://www.meteoburkina.bf/stations/134
134,Malba,Land (fixed),0-854-0-181|primary,"10,4525","-2,9828",256,https://www.meteoburkina.bf/stations/135
135,Mane,Land (fixed),0-854-0-182|primary,"12,9791","-1,3362",287,https://www.meteoburkina.bf/stations/136
136,Manga,Land (fixed),0-854-0-060|primary,"11,6845","-1,078",322,https://www.meteoburkina.bf/stations/137
137,Mangodara,Land (fixed),0-854-0-183|primary,"9,9132","-4,3542",271,https://www.meteoburkina.bf/stations/138
138,Manni,Land (fixed),0-854-0-184|primary,"13,2547","0,2139",272,https://www.meteoburkina.bf/stations/139
139,Mansila,Land (fixed),0-854-0-062|primary,"13,1649","0,6379",256,https://www.meteoburkina.bf/stations/140
140,Markoye,Land (fixed),0-854-0-185|primary,"14,64","0,04",295,https://www.meteoburkina.bf/stations/141
141,Matiakouali,Land (fixed),0-854-0-186|primary,"12,3655","1,0389",297,https://www.meteoburkina.bf/stations/142
142,Meguet,Land (fixed),0-854-0-187|primary,"12,4218","-0,7127",304,https://www.meteoburkina.bf/stations/143
143,Mogtedo,Land (fixed),0-854-0-063|primary,"12,285","-0,8353",288,https://www.meteoburkina.bf/stations/144
144,Monkuy,Land (fixed),0-854-0-065|primary,"12,2167","-3,7431",286,https://www.meteoburkina.bf/stations/145
145,Morolaba,Land (fixed),0-854-0-188|primary,"11,9","-5,0167",321,https://www.meteoburkina.bf/stations/146
146,Namoungou,Land (fixed),0-854-0-066|primary,"12,0219","0,604",269,https://www.meteoburkina.bf/stations/147
147,Namounou,Land (fixed),0-854-0-189|primary,"11,8559","1,6959",265,https://www.meteoburkina.bf/stations/148
148,Namssiguima,Land (fixed),0-854-0-067|primary,"13,6193","-2,2062",325,https://www.meteoburkina.bf/stations/149
149,Nanoro,Land (fixed),0-854-0-190|primary,"12,69","-2,19",312,https://www.meteoburkina.bf/stations/150
150,Nasso,Land (fixed),0-854-0-191|primary,"11,2018","-4,4333",355,https://www.meteoburkina.bf/stations/151
151,Nasséré,Land (fixed),0-854-0-068|primary,"13,3333","-1,3669",338,https://www.meteoburkina.bf/stations/152
152,Ndorola,Land (fixed),0-854-0-069|primary,"11,75","-4,81",342,https://www.meteoburkina.bf/stations/153
153,Neielanyaou,Land (fixed),0-854-0-192|primary,"11,8899","-2,357",293,https://www.meteoburkina.bf/stations/154
154,Niangoloko,Land (fixed),0-854-0-070|primary,"10,2933","-4,9136",464,https://www.meteoburkina.bf/stations/155
155,Niaogho,Land (fixed),0-854-0-193|primary,"11,77","-0,77",240,https://www.meteoburkina.bf/stations/156
156,Nioko2,Land (fixed),0-854-0-194|primary,"12,4304","-1,4486",295,https://www.meteoburkina.bf/stations/157
157,Nobéré,Land (fixed),0-854-0-195|primary,"11,5571","-1,1993",308,https://www.meteoburkina.bf/stations/158
158,Noghin,Land (fixed),0-854-0-196|primary,"12,417","-1,5859",317,https://www.meteoburkina.bf/stations/159
159,Nouna,Land (fixed),0-854-0-072|primary,"12,73","-3,87",280,https://www.meteoburkina.bf/stations/160
160,Nouna,Land (fixed),0-854-0-073|primary,"12,7529","-3,8232",298,https://www.meteoburkina.bf/stations/161
161,OUAGADOUGOU,Land (fixed),0-20000-0-65503|primary,"12,35","-1,5166666667",303,https://www.meteoburkina.bf/stations/162
162,OUAGADOUGOU,Land (fixed),0-854-20000-65503|primary,"12,35","-2,18",303,https://www.meteoburkina.bf/stations/163
163,OUAHIGOUYA,Land (fixed),0-20000-0-65502|primary,"13,5833333333","-2,4333333333",329,https://www.meteoburkina.bf/stations/164
164,OUAHIGOUYA,Land (fixed),0-854-20000-65502|primary,"13,58","-2,43",335,https://www.meteoburkina.bf/stations/165
165,Orodara,Land (fixed),0-854-0-197|primary,"10,9809","-4,9087",529,https://www.meteoburkina.bf/stations/166
166,Ouagadougou,Land (fixed),0-854-1-03BNUHR0001|primary,"12,35","-1,5167",303,https://www.meteoburkina.bf/stations/167
167,Ouahigouya,Land (fixed),0-854-0-074|primary,"13,5668","-2,411",329,https://www.meteoburkina.bf/stations/168
168,Ouakara,Land (fixed),0-854-0-198|primary,"11,8653","-3,6342",325,https://www.meteoburkina.bf/stations/169
169,Ouangolodougou,Land (fixed),0-854-0-199|primary,"10,0647","-4,8087",313,https://www.meteoburkina.bf/stations/170
170,Ouargaye,Land (fixed),0-854-0-075|primary,"11,5032","0,0593",283,https://www.meteoburkina.bf/stations/171
171,Ouarkoye,Land (fixed),0-854-0-076|primary,"12,0878","-3,6703",312,https://www.meteoburkina.bf/stations/172
172,Ouintokoulga,Land (fixed),0-854-0-201|primary,"13,3405","-0,7795",300,https://www.meteoburkina.bf/stations/173
173,Ouo,Land (fixed),0-854-0-077|primary,"10,3995","-3,8474",290,https://www.meteoburkina.bf/stations/174
174,Ourgou-Manega,Land (fixed),0-854-0-202|primary,"12,7775","-1,5094",315,https://www.meteoburkina.bf/stations/175
175,Oursi,Land (fixed),0-854-0-078|primary,"14,6773","-0,4647",290,https://www.meteoburkina.bf/stations/176
176,Oury,Land (fixed),0-854-0-203|primary,"11,9666","-3,037",275,https://www.meteoburkina.bf/stations/177
177,Ouéléni,Land (fixed),0-854-0-200|primary,"10,8484","-5,343",506,https://www.meteoburkina.bf/stations/178
178,PO,Land (fixed),0-20000-0-65518|primary,"11,1666666667","-1,15",326,https://www.meteoburkina.bf/stations/179
179,PO,Land (fixed),0-854-20000-65518|primary,"11,17","-1,15",321,https://www.meteoburkina.bf/stations/180
180,Pa,Land (fixed),0-854-0-204|primary,"11,5483","-3,2714",296,https://www.meteoburkina.bf/stations/181
